rule_label,pattern,pattern_match_type,description,examples,exceptions,applies_when,matcher_scope,pattern_role,rule_type
c_before_a_o_u_l_r,"ca,co,cu,cl,cr",literal,"C is typically followed by a, o, u, l, or r in these patterns where it makes the /k/ sound.",cat; cot; cut; clap; crawl,,spelling choice is between c and k before a o u l or r,deterministic,rule,letter_choice
k_followed_by_i_e,"ki,ke",literal,K is followed by i and e in these patterns.,kite; kelp,,spelling choice is between c and k before i or e,deterministic,rule,letter_choice
one_syllable_final_y_says_i,-y,literal,"When a one-syllable word ends in y, it usually says /ī/.",sky; try; my,,one-syllable base word ends in y and the final sound is long i,deterministic,rule,phonics
multisyllable_final_y_says_e,-y,literal,Y says /ē/ at the end of a multi-syllable base word.,money; penny; lady,,multisyllable base word ends in y and the final sound is long e,deterministic,rule,phonics
ay_at_end_says_long_a,-ay,literal,AY usually spells /ā/ at the end of a base word.,display; day; stray,,word ends with the long a sound and the spelling choice is between ai and ay,deterministic,rule,vowel_team
silent_e_makes_vowel_long,vowel+consonant+letter e,shape,"A final silent e can make the vowel say its name, even when one consonant stands in the way.",cape; cube; pine,,word ends in a vowel-consonant-silent e pattern where the vowel is long,deterministic,rule,pattern
silent_e_blocked_by_two_consonants,vowel+consonant+consonant+letter e,shape,A final silent e usually cannot make the vowel long when two consonants stand between the vowel and the e.,hopped; patted; madder,,word has two consonants between the vowel and final e so the silent e does not make the vowel long,deterministic,rule,pattern
silent_e_softens_c_and_g,"ce,ge",literal,Final e can also make c say /s/ and g say /j/.,cent; face; dance; wage; orange; gentle,,word uses final e to soften c to /s/ or g to /j/,deterministic,rule,pattern
final_ch_after_consonant,-ch,literal,"If the final /ch/ sound comes after a consonant, the ending is usually -ch.",search; church; branch; finch,,word ends with the /ch/ sound after a consonant,deterministic,rule,pattern
final_tch_after_one_letter_vowel,-tch,literal,"When final /ch/ follows a one-letter vowel, it is usually written -tch.",fetch; catch; pitch; watch; dispatch,attach; much; sandwich; which; detach; ostrich; spinach; enrich; rich; such,word ends with the /ch/ sound after a single short vowel,deterministic,rule,pattern
tch_exceptions,-ch,literal,Some words do not use -tch even after a one-letter vowel.,attach; much; sandwich; which; detach; ostrich; spinach; enrich; rich; such,,word ends with the /ch/ sound after a single vowel but belongs to a known -ch exception family,skip,rule,exception
tch_after_single_short_vowel,-tch,literal,tch is used only after a single vowel that does not say its name.,catch; fetch; witch; botch; hutch,attach; much; sandwich; which; detach; ostrich; spinach; enrich; rich; such,word ends with the /ch/ sound after a single short vowel,deterministic,rule,pattern
final_ch_after_two_letter_vowel,-ch,literal,"If the final /ch/ sound comes after a two-letter vowel, the ending is usually -ch.",beach; teach; crouch; touch; speech,,word ends with the /ch/ sound after a two-letter vowel team,deterministic,rule,pattern
singular_final_s_add_e,single final s + letter e,shape,Add e to keep singular words that end in one s from looking plural.,course; moose; dispense,,base word ends in a single final s and needs an e to avoid looking plural,skip,rule,pattern
double_consonant_before_vowel_suffix,short vowel+single final consonant,shape,Double the last consonant when adding a vowel suffix to words ending in one vowel followed by one consonant.,tap->tapped->tapping; plot->plotted->plotting,,adding a vowel-initial suffix to a base word with short vowel + single final consonant,skip,rule,morphophonemic
final_dge_after_short_vowel,-dge,literal,dge is used only after a single vowel that says its short sound.,badge; wedge; bridge; splodge; fudge,,word ends with the /j/ sound after a single short vowel,deterministic,rule,pattern
y_to_i_before_suffix,consonant+y,shape,"Change y to i when adding an ending, unless the ending begins with i.",fly->flies; spy->spied; fly->flying; spy->spying,skiing,adding a suffix to a base word ending in consonant + y unless the suffix begins with i,skip,rule,morphophonemic
skiing_exception,-ing,literal,Do not change y to i when the ending begins with i; skiing is listed as an exception example.,skiing,,adding a suffix that begins with i to a word where changing y or adjacent vowels would create an incorrect form,skip,rule,exception
plural_nouns_add_s_or_es,plural suffix -s or -es,shape,"To make a noun plural, add -s unless the word hisses or changes, then add -es.",plan->plans; swim->swims; pass->passes; grass->grasses,,forming a plural noun from a singular base word,skip,rule,morphology
third_person_singular_add_s_or_es,verb suffix -s or -es,shape,"To make a verb third person singular, add -s unless the word hisses, then add -es.",jump->jumps; dance->dances; tax->taxes,,forming the third-person singular present-tense verb,skip,rule,morphology
al_prefix_one_l,prefix al-,shape,The prefix all is written with one l (al) before another syllable.,altogether; always; alright; already; almost,,word begins with the prefix al meaning all,deterministic,rule,morphology
ck_after_single_short_vowel,-ck,literal,CK is used only after a single vowel that says its short sound.,pack; check; tick; sock; luck,,"ends with ""ck"" after short vowel",deterministic,rule,pattern
double_f_l_s_after_single_vowel,"-ff,-ll,-ss",literal,"F, L, and S are often doubled after a single vowel at the end of a base word.",class; fall; gruff; hiss; doll; stuff,,base word ends with f l or s after a single vowel,deterministic,rule,pattern
ful_suffix_one_l,suffix -ful,shape,full is written with one l (ful) when added as a suffix.,youthful; grateful; wasteful; joyful; sorrowful,,word uses the suffix -ful,deterministic,rule,morphology
o_says_uh_next_to_th_m_n_v,"oth,om,on,ov",literal,"O may say /ŭ/ in a stressed syllable next to th, m, n, or v.",month; come; none; dove,,word has o next to th m n or v and the vowel says schwa or short u,prompt_only,rule,phonics
sh_can_be_spelled_multiple_ways,"sh,ci,ti,si,ch,ssi",literal,"The /sh/ sound can be spelled sh, ci, ti, si, ch, or ssi, often in certain endings.",tion; tious; tial; cian; cial; cious; sion; ssion,,word contains the /sh/ sound and the spelling choice involves sh ci ti si ch or ssi,prompt_only,feature,pattern
ph_for_f_in_long_greek_words,ph,literal,"In long words, especially Greek-origin words, the /f/ sound may be spelled ph.",geography,,word contains the /f/ sound in a Greek-origin or Greek-pattern word and the spelling may be ph,deterministic,rule,pattern
oi_middle_oy_end,"oi,oy",literal,Use oi at the beginning or in the middle of a word for the /oi/ sound; use oy at the end.,oil; soil; coin; boy; annoy,,word contains the /oi/ sound; if the /oi/ sound is at the beginning or in the middle of the word choose oi; if the /oi/ sound is at the end of the word choose oy,prompt_only,rule,pattern
ou_middle_ow_end,"ou,ow",literal,Use ou at the beginning or in the middle of a word for the /ou/ sound; use ow at the end.,sound; our; proud; brow; row,,word contains the /ou/ sound; if the /ou/ sound is at the beginning or in the middle of the word choose ou; if the /ou/ sound is at the end of the word choose ow,prompt_only,rule,pattern
open_syllable_long_vowel,open_syllable,literal,"A, E, O, and U usually say their long sounds at the end of an open syllable.",me; go; no; be; robot,,word has an open syllable ending in a vowel and the vowel says its long sound,prompt_only,rule,phonics
i_y_end_of_syllable_variation,"i,y",literal,"I and Y may say either short /i/ or long /i/ at the end of a syllable, depending on the word.",hi; myth; by; crystal,,word ends a syllable with i or y and the vowel sound must be judged from the word family or pronunciation,prompt_only,rule,phonics
final_i_or_open_i_can_say_long_e,"i,-i",literal,"I may say /e/ with a silent final e, at the end of a syllable, or at the end of some foreign words.",machine; ski; ravioli,,word has i in an open syllable or final i in a known pattern where it says long e,prompt_only,rule,phonics
i_o_long_before_two_consonants,"ind,ild,olt,old,ost",literal,I and O may sometimes say their long sounds before two consonants like -nd or -ld or -st or -lt.,mind; most; old; find,,word contains i or o before two consonants and the vowel is one of the known long-vowel family patterns such as mind most old or find,deterministic,rule,phonics
final_a_or_a_after_w_or_before_l_says_ah,"-a,wa,al",literal,"A may say /ah/ at the end of a word, after w, or before l.",spa; wasp; walk; also,,word has a at the end of a word after w or before l and the vowel says /ah/,prompt_only,rule,phonics
silent_e_prevents_plural_look,single final s + letter e,shape,A final e can keep a singular word ending in s from looking plural.,house; moose; course,,word ends in a singular final s pattern where silent e prevents the word from looking plural,skip,rule,orthographic_constraint
silent_e_can_clarify_meaning,silent_e,literal,A final e can be kept or added to make a word clearer in meaning or easier to distinguish.,whole; please; house,,final e helps distinguish the word from another form or keeps the spelling visually clear,prompt_only,rule,orthographic_constraint
silent_e_can_voice_th,-the,literal,A final e can help signal the voiced /th/ sound in some words.,breathe; bathe; teethe,,word ends with the voiced /th/ sound and final e helps signal that pronunciation,prompt_only,rule,phonics
no_double_i_in_english,ii,literal,Two i letters normally do not stand next to each other in English words.,skiing (handled as an exception); radii,skiing; radii,spelling choice would otherwise place two i letters next to each other in an English word,skip,rule,orthographic_constraint
ti_ci_si_begin_later_syllables,"ti,ci,si",literal,"TI, CI, and SI are typically used at the beginning of a syllable after the first one.",nation; special; tension,,word has the /sh/ or /zh/ sound at the start of a later syllable and the spelling choice is ti ci or si,prompt_only,rule,pattern
sh_position_rule,sh,literal,"SH usually spells /sh/ at the beginning of a base word or the end of a syllable, but not at the start of later syllables except in -ship.",ship; wish; friendship,,word has the /sh/ sound at the beginning of a base word or the end of a syllable,prompt_only,rule,pattern
ed_pronunciation_rule,-ed,literal,The past-tense ending -ed forms a new syllable after /d/ or /t/; otherwise it is pronounced /d/ or /t/.,wanted; landed; jumped; kissed,,explaining how the past-tense suffix -ed is pronounced after a base word,skip,rule,morphophonemic
gh_phonograms_end_or_before_t,"-gh,ght",literal,Phonograms ending in gh are usually found at the end of a base word or before t; gh may be silent or say /f/.,laugh; cough; light; eight,,word contains gh at the end of a base word or before t,prompt_only,rule,pattern
z_spells_z_at_word_start,z-,literal,"At the beginning of a base word, /z/ is typically spelled with z rather than s.",zoo; zero; zipper,,word begins with the /z/ sound and the spelling choice is between z and s,deterministic,rule,phonics
schwa_any_vowel_unstressed,schwa,literal,Any vowel may say a schwa sound in an unstressed syllable or unstressed word.,about; support; pencil; sofa,,word has an unstressed syllable where the vowel reduces to schwa,prompt_only,rule,phonics
schwa_o_next_to_w_th_m_n_v,"wo,tho,om,on,ov",literal,"O may say schwa /uh/ in a stressed syllable when next to w, th, m, n, or v.",come; love; month; none; dove,,word has o next to w th m n or v and the vowel reduces toward schwa or short u,prompt_only,rule,phonics
schwa_ar_or_to_er_unstressed,"ar,or",literal,AR and OR may reduce to a schwa-like /er/ sound in an unstressed syllable.,dollar; doctor; memory,,word has ar or or in an unstressed syllable and the sound reduces toward /er/,prompt_only,rule,phonics
